task,worker,label,source
61,165,1,random_label2
61,54,1,random_label3
62,206,8,random_label1
62,165,8,random_label2
62,54,8,random_label3
63,206,2,random_label1
63,165,2,random_label2
63,54,2,random_label3
64,206,1,random_label1
64,165,1,random_label2
64,54,1,random_label3
65,206,1,random_label1
65,165,9,random_label2
65,54,1,random_label3
66,206,4,random_label1
66,165,4,random_label2
66,54,7,random_label3
67,206,0,random_label1
67,165,1,random_label2
67,54,9,random_label3
68,206,0,random_label1
68,165,5,random_label2
68,54,7,random_label3
69,206,0,random_label1
69,165,8,random_label2
69,54,8,random_label3
70,727,3,random_label1
70,140,3,random_label2
70,510,3,random_label3
71,727,9,random_label1
71,140,9,random_label2
71,510,8,random_label3
72,727,8,random_label1
72,140,2,random_label2
72,510,3,random_label3
73,727,1,random_label1
73,140,7,random_label2
73,510,7,random_label3
74,727,3,random_label1
74,140,2,random_label2
74,510,2,random_label3
75,727,9,random_label1
75,140,1,random_label2
75,510,3,random_label3
76,727,9,random_label1
76,140,9,random_label2
76,510,9,random_label3
77,727,0,random_label1
77,140,0,random_label2
77,510,0,random_label3
78,727,3,random_label1
78,140,3,random_label2
78,510,5,random_label3
79,727,1,random_label1
79,140,1,random_label2
79,510,1,random_label3
80,379,3,random_label1
80,390,3,random_label2
80,131,3,random_label3
81,379,5,random_label1
81,390,5,random_label2
81,131,1,random_label3
82,379,4,random_label1
82,390,4,random_label2
82,131,6,random_label3
83,379,5,random_label1
83,390,7,random_label2
83,131,5,random_label3
84,379,7,random_label1
84,390,5,random_label2
84,131,7,random_label3
85,379,9,random_label1
85,390,7,random_label2
85,131,7,random_label3
86,379,4,random_label1
86,390,4,random_label2
86,131,4,random_label3
87,379,7,random_label1
87,390,7,random_label2
87,131,7,random_label3
88,379,1,random_label1
88,390,9,random_label2
88,131,9,random_label3
89,379,2,random_label1
89,390,2,random_label2
89,131,8,random_label3
90,223,2,random_label1
90,567,2,random_label2
90,182,2,random_label3
91,223,4,random_label1
91,567,3,random_label2
91,182,3,random_label3
92,223,8,random_label1
92,567,8,random_label2
92,182,8,random_label3
93,223,0,random_label1
93,567,0,random_label2
93,182,0,random_label3
94,223,1,random_label1
94,567,1,random_label2
94,182,1,random_label3
95,223,6,random_label1
95,567,6,random_label2
95,182,6,random_label3
96,223,1,random_label1
96,567,1,random_label2
96,182,1,random_label3
97,223,9,random_label1
97,567,1,random_label2
97,182,9,random_label3
98,223,4,random_label1
98,567,4,random_label2
98,182,4,random_label3
99,223,1,random_label1
99,567,1,random_label2
99,182,1,random_label3
100,46,8,random_label1
100,443,8,random_label2
100,54,8,random_label3
101,46,3,random_label1
101,443,3,random_label2
101,54,3,random_label3
102,46,9,random_label1
102,443,0,random_label2
102,54,9,random_label3
103,46,6,random_label1
103,443,6,random_label2
103,54,6,random_label3
104,46,6,random_label1
104,443,7,random_label2
104,54,6,random_label3
105,46,1,random_label1
105,443,1,random_label2
105,54,1,random_label3
106,46,8,random_label1
106,443,8,random_label2
106,54,8,random_label3
107,46,2,random_label1
107,443,6,random_label2
107,54,5,random_label3
108,46,2,random_label1
108,443,2,random_label2
108,54,2,random_label3
109,46,9,random_label1
109,443,9,random_label2
109,54,9,random_label3
110,140,9,random_label1
110,485,9,random_label2
110,79,1,random_label3
111,140,8,random_label1
111,485,9,random_label2
111,79,8,random_label3
112,140,1,random_label1
112,485,1,random_label2
112,79,1,random_label3
113,140,7,random_label1
113,485,7,random_label2
113,79,2,random_label3
114,140,7,random_label1
114,485,7,random_label2
114,79,7,random_label3
115,140,0,random_label1
115,485,0,random_label2
115,79,0,random_label3
116,140,0,random_label1
116,485,0,random_label2
116,79,0,random_label3
117,140,6,random_label1
117,485,6,random_label2
117,79,6,random_label3
118,140,9,random_label1
118,485,9,random_label2
118,79,8,random_label3
119,140,1,random_label1
119,485,1,random_label2
119,79,1,random_label3
120,140,2,random_label1
120,413,2,random_label2
120,54,2,random_label3
121,140,2,random_label1
121,413,3,random_label2
121,54,2,random_label3
122,140,9,random_label1
122,413,9,random_label2
122,54,9,random_label3
123,140,7,random_label1
123,413,2,random_label2
123,54,2,random_label3
124,140,6,random_label1
124,413,6,random_label2
124,54,4,random_label3
125,140,6,random_label1
125,413,6,random_label2
125,54,6,random_label3
126,140,9,random_label1
126,413,1,random_label2
126,54,1,random_label3
127,140,1,random_label1
127,413,1,random_label2
127,54,9,random_label3
128,140,5,random_label1
128,413,5,random_label2
128,54,5,random_label3
129,140,0,random_label1
129,413,0,random_label2
129,54,0,random_label3
130,397,5,random_label1
130,131,2,random_label2
130,545,4,random_label3
131,397,1,random_label1
131,131,7,random_label2
131,545,7,random_label3
132,397,6,random_label1
132,131,6,random_label2
132,545,6,random_label3
133,397,5,random_label1
133,131,7,random_label2
133,545,7,random_label3
134,397,9,random_label1
134,131,1,random_label2
134,545,9,random_label3
135,397,8,random_label1
135,131,8,random_label2
135,545,8,random_label3
136,397,1,random_label1
136,131,1,random_label2
136,545,1,random_label3
137,397,1,random_label1
137,131,1,random_label2
137,545,0,random_label3
138,397,2,random_label1
138,131,1,random_label2
138,545,2,random_label3
139,397,8,random_label1
139,131,8,random_label2
139,545,8,random_label3
140,375,9,random_label1
140,206,1,random_label2
140,584,6,random_label3
141,375,3,random_label1
141,206,3,random_label2
141,584,4,random_label3
142,375,3,random_label1
142,206,3,random_label2
142,584,3,random_label3
143,375,6,random_label1
143,206,6,random_label2
143,584,6,random_label3
144,375,2,random_label1
144,206,0,random_label2
144,584,2,random_label3
145,375,4,random_label1
145,206,4,random_label2
145,584,4,random_label3
146,375,9,random_label1
146,206,1,random_label2
146,584,1,random_label3
147,375,9,random_label1
147,206,9,random_label2
147,584,9,random_label3
148,375,5,random_label1
148,206,5,random_label2
148,584,5,random_label3
149,375,4,random_label1
149,206,4,random_label2
149,584,4,random_label3
150,301,3,random_label1
150,410,3,random_label2
150,335,3,random_label3
151,301,6,random_label1
151,410,6,random_label2
151,335,6,random_label3
152,301,7,random_label1
152,410,7,random_label2
152,335,7,random_label3
153,301,4,random_label1
153,410,4,random_label2
153,335,4,random_label3
154,301,6,random_label1
154,410,6,random_label2
154,335,2,random_label3
155,301,8,random_label1
155,410,8,random_label2
155,335,8,random_label3
156,301,5,random_label1
156,410,5,random_label2
156,335,5,random_label3
157,301,5,random_label1
157,410,3,random_label2
157,335,5,random_label3
158,301,4,random_label1
158,410,7,random_label2
158,335,0,random_label3
159,301,5,random_label1
159,410,3,random_label2
159,335,5,random_label3
160,443,1,random_label1
160,379,1,random_label2
160,177,1,random_label3
161,443,8,random_label1
161,379,8,random_label2
161,177,8,random_label3
162,443,4,random_label1
162,379,4,random_label2
162,177,0,random_label3
163,443,9,random_label1
163,379,7,random_label2
163,177,7,random_label3
164,443,6,random_label1
164,379,6,random_label2
164,177,6,random_label3
165,443,0,random_label1
165,379,0,random_label2
165,177,0,random_label3
166,443,1,random_label1
166,379,9,random_label2
166,177,9,random_label3
167,443,5,random_label1
167,379,5,random_label2
167,177,6,random_label3
168,443,1,random_label1
168,379,1,random_label2
168,177,1,random_label3
169,443,3,random_label1
169,379,6,random_label2
169,177,3,random_label3
170,223,8,random_label1
170,616,8,random_label2
170,413,1,random_label3
171,223,2,random_label1
171,616,2,random_label2
171,413,2,random_label3
172,223,7,random_label1
172,616,7,random_label2
172,413,7,random_label3
173,223,5,random_label1
173,616,3,random_label2
173,413,5,random_label3
174,223,3,random_label1
174,616,3,random_label2
174,413,3,random_label3
175,223,4,random_label1
175,616,3,random_label2
175,413,4,random_label3
176,223,1,random_label1
176,616,9,random_label2
176,413,1,random_label3
177,223,5,random_label1
177,616,5,random_label2
177,413,5,random_label3
178,223,7,random_label1
178,616,7,random_label2
178,413,7,random_label3
179,223,2,random_label1
179,616,4,random_label2
179,413,0,random_label3
180,528,4,random_label1
180,79,4,random_label2
180,223,4,random_label3
181,528,7,random_label1
181,79,7,random_label2
181,223,7,random_label3
182,528,0,random_label1
182,79,5,random_label2
182,223,5,random_label3
183,528,5,random_label1
183,79,5,random_label2
183,223,5,random_label3
184,528,1,random_label1
184,79,1,random_label2
184,223,1,random_label3
185,528,0,random_label1
185,79,0,random_label2
185,223,1,random_label3
186,528,9,random_label1
186,79,9,random_label2
186,223,9,random_label3
187,528,6,random_label1
187,79,6,random_label2
187,223,6,random_label3
188,528,9,random_label1
188,79,9,random_label2
188,223,9,random_label3
189,528,8,random_label1
189,79,0,random_label2
189,223,0,random_label3
190,731,8,random_label1
190,199,8,random_label2
190,390,8,random_label3
191,731,7,random_label1
191,199,7,random_label2
191,390,3,random_label3
192,731,8,random_label1
192,199,8,random_label2
192,390,8,random_label3
193,731,8,random_label1
193,199,8,random_label2
193,390,8,random_label3
194,731,2,random_label1
194,199,2,random_label2
194,390,2,random_label3
195,731,5,random_label1
195,199,5,random_label2
195,390,5,random_label3
196,731,2,random_label1
196,199,2,random_label2
196,390,2,random_label3
197,731,3,random_label1
197,199,4,random_label2
197,390,3,random_label3
198,731,1,random_label1
198,199,5,random_label2
198,390,5,random_label3
199,731,0,random_label1
199,199,0,random_label2
199,390,0,random_label3
200,478,6,random_label1
200,458,6,random_label2
200,545,4,random_label3
201,478,1,random_label1
201,458,1,random_label2
201,545,1,random_label3
202,478,9,random_label1
202,458,9,random_label2
202,545,9,random_label3
203,478,3,random_label1
203,458,3,random_label2
203,545,3,random_label3
204,478,6,random_label1
204,458,6,random_label2
204,545,4,random_label3
205,478,9,random_label1
205,458,9,random_label2
205,545,1,random_label3
206,478,1,random_label1
206,458,5,random_label2
206,545,1,random_label3
207,478,3,random_label1
207,458,3,random_label2
207,545,3,random_label3
208,478,1,random_label1
208,458,1,random_label2
208,545,1,random_label3
209,478,1,random_label1
209,458,6,random_label2
209,545,6,random_label3
210,635,6,random_label1
210,177,6,random_label2
210,528,6,random_label3
211,635,7,random_label1
211,177,7,random_label2
211,528,7,random_label3
212,635,1,random_label1
212,177,1,random_label2
212,528,1,random_label3
213,635,0,random_label1
213,177,0,random_label2
213,528,0,random_label3
214,635,1,random_label1
214,177,1,random_label2
214,528,9,random_label3
215,635,5,random_label1
215,177,5,random_label2
215,528,5,random_label3
216,635,8,random_label1
216,177,8,random_label2
216,528,8,random_label3
217,635,5,random_label1
217,177,5,random_label2
217,528,5,random_label3
218,635,2,random_label1
218,177,2,random_label2
218,528,5,random_label3
219,635,9,random_label1
219,177,9,random_label2
219,528,9,random_label3
220,335,0,random_label1
220,88,0,random_label2
220,54,0,random_label3
221,335,8,random_label1
221,88,8,random_label2
221,54,4,random_label3
222,335,8,random_label1
222,88,7,random_label2
222,54,8,random_label3
223,335,0,random_label1
223,88,9,random_label2
223,54,0,random_label3
224,335,6,random_label1
224,88,1,random_label2
224,54,6,random_label3
225,335,9,random_label1
225,88,9,random_label2
225,54,9,random_label3
226,335,1,random_label1
226,88,1,random_label2
226,54,1,random_label3
227,335,1,random_label1
227,88,1,random_label2
227,54,1,random_label3
228,335,6,random_label1
228,88,0,random_label2
228,54,6,random_label3
229,335,3,random_label1
229,88,3,random_label2
229,54,6,random_label3
230,301,7,random_label1
230,41,7,random_label2
230,182,7,random_label3
231,301,6,random_label1
231,41,5,random_label2
231,182,6,random_label3
232,301,6,random_label1
232,41,4,random_label2
232,182,6,random_label3
233,301,0,random_label1
233,41,0,random_label2
233,182,0,random_label3
234,301,6,random_label1
234,41,6,random_label2
234,182,8,random_label3
235,301,6,random_label1
235,41,6,random_label2
235,182,6,random_label3
236,301,1,random_label1
236,41,1,random_label2
236,182,1,random_label3
237,301,7,random_label1
237,41,7,random_label2
237,182,7,random_label3
238,301,1,random_label1
238,41,1,random_label2
238,182,1,random_label3
239,301,5,random_label1
239,41,5,random_label2
239,182,8,random_label3
240,571,8,random_label1
240,162,3,random_label2
240,182,8,random_label3
241,571,6,random_label1
241,162,6,random_label2
241,182,9,random_label3
242,571,6,random_label1
242,162,6,random_label2
242,182,6,random_label3
243,571,6,random_label1
243,162,6,random_label2
243,182,6,random_label3
244,571,8,random_label1
244,162,8,random_label2
244,182,8,random_label3
245,571,6,random_label1
245,162,6,random_label2
245,182,5,random_label3
246,571,8,random_label1
246,162,8,random_label2
246,182,8,random_label3
247,571,4,random_label1
247,162,4,random_label2
247,182,4,random_label3
248,571,3,random_label1
248,162,0,random_label2
248,182,3,random_label3
249,571,8,random_label1
249,162,6,random_label2
249,182,6,random_label3
250,352,1,random_label1
250,430,1,random_label2
250,199,1,random_label3
251,352,3,random_label1
251,430,3,random_label2
251,199,1,random_label3
252,352,5,random_label1
252,430,8,random_label2
252,199,8,random_label3
253,352,5,random_label1
253,430,3,random_label2
253,199,3,random_label3
254,352,4,random_label1
254,430,4,random_label2
254,199,4,random_label3
255,352,1,random_label1
255,430,1,random_label2
255,199,1,random_label3
256,352,7,random_label1
256,430,7,random_label2
256,199,7,random_label3
257,352,1,random_label1
257,430,1,random_label2
257,199,1,random_label3
258,352,5,random_label1
258,430,5,random_label2
258,199,5,random_label3
259,352,8,random_label1
259,430,8,random_label2
259,199,0,random_label3
260,727,5,random_label1
260,397,5,random_label2
260,197,5,random_label3
261,727,1,random_label1
261,397,1,random_label2
261,197,1,random_label3
262,727,1,random_label1
262,397,1,random_label2
262,197,1,random_label3
263,727,4,random_label1
263,397,4,random_label2
263,197,4,random_label3
264,727,0,random_label1
264,397,0,random_label2
264,197,0,random_label3
265,727,9,random_label1
265,397,9,random_label2
265,197,9,random_label3
266,727,0,random_label1
266,397,3,random_label2
266,197,3,random_label3
267,727,7,random_label1
267,397,7,random_label2
267,197,4,random_label3
268,727,2,random_label1
268,397,4,random_label2
268,197,2,random_label3
269,727,9,random_label1
269,397,9,random_label2
269,197,9,random_label3
270,88,9,random_label1
270,162,9,random_label2
270,631,9,random_label3
271,88,2,random_label1
271,162,1,random_label2
271,631,2,random_label3
272,88,4,random_label1
272,162,4,random_label2
272,631,4,random_label3
273,88,9,random_label1
273,162,3,random_label2
273,631,9,random_label3
274,88,9,random_label1
274,162,1,random_label2
274,631,9,random_label3
275,88,1,random_label1
275,162,1,random_label2
275,631,9,random_label3
276,88,0,random_label1
276,162,0,random_label2
276,631,0,random_label3
277,88,5,random_label1
277,162,5,random_label2
277,631,5,random_label3
278,88,9,random_label1
278,162,4,random_label2
278,631,9,random_label3
279,88,0,random_label1
279,162,0,random_label2
279,631,0,random_label3
280,457,8,random_label1
280,341,8,random_label2
280,162,8,random_label3
281,457,2,random_label1
281,341,2,random_label2
281,162,2,random_label3
282,457,9,random_label1
282,341,1,random_label2
282,162,1,random_label3
283,457,7,random_label1
283,341,2,random_label2
283,162,2,random_label3
284,457,0,random_label1
284,341,0,random_label2
284,162,0,random_label3
285,457,5,random_label1
285,341,5,random_label2
285,162,5,random_label3
286,457,6,random_label1
286,341,6,random_label2
286,162,6,random_label3
287,457,5,random_label1
287,341,3,random_label2
287,162,3,random_label3
288,457,2,random_label1
288,341,2,random_label2
288,162,2,random_label3
289,457,7,random_label1
289,341,7,random_label2
289,162,7,random_label3
290,545,8,random_label1
290,162,8,random_label2
290,514,8,random_label3
291,545,8,random_label1
291,162,8,random_label2
291,514,8,random_label3
292,545,6,random_label1
292,162,6,random_label2
292,514,6,random_label3
293,545,8,random_label1
293,162,1,random_label2
293,514,0,random_label3
294,545,7,random_label1
294,162,6,random_label2
294,514,7,random_label3
295,545,1,random_label1
295,162,9,random_label2
295,514,9,random_label3
296,545,4,random_label1
296,162,1,random_label2
296,514,7,random_label3
297,545,5,random_label1
297,162,2,random_label2
297,514,5,random_label3
298,545,6,random_label1
298,162,2,random_label2
298,514,1,random_label3
299,545,4,random_label1
299,162,4,random_label2
299,514,4,random_label3
300,510,2,random_label1
300,301,2,random_label2
300,508,2,random_label3
301,510,1,random_label1
301,301,1,random_label2
301,508,1,random_label3
302,510,1,random_label1
302,301,1,random_label2
302,508,1,random_label3
303,510,2,random_label1
303,301,0,random_label2
303,508,2,random_label3
304,510,1,random_label1
304,301,1,random_label2
304,508,1,random_label3
305,510,4,random_label1
305,301,5,random_label2
305,508,4,random_label3
306,510,9,random_label1
306,301,1,random_label2
306,508,9,random_label3
307,510,0,random_label1
307,301,9,random_label2
307,508,9,random_label3
308,510,0,random_label1
308,301,0,random_label2
308,508,0,random_label3
309,510,8,random_label1
309,301,8,random_label2
309,508,8,random_label3
310,41,4,random_label1
310,182,4,random_label2
310,510,2,random_label3
311,41,1,random_label1
311,182,1,random_label2
311,510,1,random_label3
312,41,1,random_label1
312,182,1,random_label2
312,510,1,random_label3
313,41,6,random_label1
313,182,6,random_label2
313,510,6,random_label3
314,41,3,random_label1
314,182,3,random_label2
314,510,3,random_label3
315,41,5,random_label1
315,182,3,random_label2
315,510,3,random_label3
316,41,9,random_label1
316,182,9,random_label2
316,510,9,random_label3
317,41,0,random_label1
317,182,0,random_label2
317,510,0,random_label3
318,41,7,random_label1
318,182,7,random_label2
318,510,7,random_label3
319,41,9,random_label1
319,182,1,random_label2
319,510,9,random_label3
320,545,7,random_label1
320,223,7,random_label2
320,177,7,random_label3
321,545,7,random_label1
321,223,2,random_label2
321,177,7,random_label3
322,545,1,random_label1
322,223,9,random_label2
322,177,9,random_label3
323,545,1,random_label1
323,223,1,random_label2
323,177,1,random_label3
324,545,5,random_label1
324,223,5,random_label2
324,177,5,random_label3
325,545,1,random_label1
325,223,1,random_label2
325,177,1,random_label3
326,545,6,random_label1
326,223,6,random_label2
326,177,6,random_label3
327,545,6,random_label1
327,223,6,random_label2
327,177,5,random_label3
328,545,8,random_label1
328,223,8,random_label2
328,177,8,random_label3
329,545,7,random_label1
329,223,7,random_label2
329,177,7,random_label3
330,54,1,random_label1
330,162,0,random_label2
330,140,9,random_label3
331,54,3,random_label1
331,162,3,random_label2
331,140,3,random_label3
332,54,0,random_label1
332,162,0,random_label2
332,140,0,random_label3
333,54,5,random_label1
333,162,3,random_label2
333,140,3,random_label3
334,54,1,random_label1
334,162,3,random_label2
334,140,3,random_label3
335,54,2,random_label1
335,162,2,random_label2
335,140,2,random_label3
336,54,4,random_label1
336,162,4,random_label2
336,140,4,random_label3
337,54,5,random_label1
337,162,5,random_label2
337,140,5,random_label3
338,54,7,random_label1
338,162,7,random_label2
338,140,7,random_label3
339,54,5,random_label1
339,162,5,random_label2
339,140,5,random_label3
340,177,9,random_label1
340,584,9,random_label2
340,145,9,random_label3
341,177,0,random_label1
341,584,0,random_label2
341,145,0,random_label3
342,177,3,random_label1
342,584,3,random_label2
342,145,3,random_label3
343,177,4,random_label1
343,584,4,random_label2
343,145,2,random_label3
344,177,0,random_label1
344,584,0,random_label2
344,145,0,random_label3
345,177,2,random_label1
345,584,3,random_label2
345,145,4,random_label3
346,177,4,random_label1
346,584,4,random_label2
346,145,6,random_label3
347,177,4,random_label1
347,584,2,random_label2
347,145,6,random_label3
348,177,0,random_label1
348,584,0,random_label2
348,145,0,random_label3
349,177,0,random_label1
349,584,0,random_label2
349,145,0,random_label3
350,471,6,random_label1
350,177,6,random_label2
350,165,6,random_label3
351,471,6,random_label1
351,177,6,random_label2
351,165,6,random_label3
352,471,0,random_label1
352,177,0,random_label2
352,165,0,random_label3
353,471,8,random_label1
353,177,8,random_label2
353,165,8,random_label3
354,471,1,random_label1
354,177,9,random_label2
354,165,1,random_label3
355,471,6,random_label1
355,177,6,random_label2
355,165,6,random_label3
356,471,2,random_label1
356,177,2,random_label2
356,165,2,random_label3
357,471,9,random_label1
357,177,9,random_label2
357,165,1,random_label3
358,471,2,random_label1
358,177,2,random_label2
358,165,2,random_label3
359,471,5,random_label1
359,177,9,random_label2
359,165,5,random_label3
360,731,9,random_label1
360,571,9,random_label2
360,509,1,random_label3
361,731,6,random_label1
361,571,6,random_label2
361,509,3,random_label3
362,731,7,random_label1
362,571,7,random_label2
362,509,7,random_label3
363,731,4,random_label1
363,571,4,random_label2
363,509,5,random_label3
364,731,9,random_label1
364,571,9,random_label2
364,509,1,random_label3
365,731,8,random_label1
365,571,8,random_label2
365,509,8,random_label3
366,731,7,random_label1
366,571,7,random_label2
366,509,7,random_label3
367,731,3,random_label1
367,571,3,random_label2
367,509,6,random_label3
368,731,6,random_label1
368,571,6,random_label2
368,509,6,random_label3
369,731,9,random_label1
369,571,3,random_label2
369,509,1,random_label3
370,110,3,random_label1
370,413,3,random_label2
370,133,3,random_label3
371,110,0,random_label1
371,413,0,random_label2
371,133,0,random_label3
372,110,4,random_label1
372,413,4,random_label2
372,133,4,random_label3
373,110,0,random_label1
373,413,0,random_label2
373,133,0,random_label3
374,110,5,random_label1
374,413,9,random_label2
374,133,5,random_label3
375,110,1,random_label1
375,413,1,random_label2
375,133,1,random_label3
376,110,0,random_label1
376,413,0,random_label2
376,133,0,random_label3
377,110,3,random_label1
377,413,2,random_label2
377,133,3,random_label3
378,110,4,random_label1
378,413,4,random_label2
378,133,8,random_label3
379,110,8,random_label1
379,413,0,random_label2
379,133,8,random_label3
380,133,5,random_label1
380,177,5,random_label2
380,583,5,random_label3
381,133,4,random_label1
381,177,4,random_label2
381,583,4,random_label3
382,133,4,random_label1
382,177,6,random_label2
382,583,7,random_label3
383,133,2,random_label1
383,177,4,random_label2
383,583,2,random_label3
384,133,3,random_label1
384,177,3,random_label2
384,583,3,random_label3
385,133,9,random_label1
385,177,9,random_label2
385,583,9,random_label3
386,133,7,random_label1
386,177,7,random_label2
386,583,7,random_label3
387,133,3,random_label1
387,177,6,random_label2
387,583,6,random_label3
388,133,7,random_label1
388,177,7,random_label2
388,583,7,random_label3
389,133,1,random_label1
389,177,1,random_label2
389,583,1,random_label3
390,413,4,random_label1
390,198,4,random_label2
390,528,4,random_label3
391,413,7,random_label1
391,198,7,random_label2
391,528,7,random_label3
392,413,0,random_label1
392,198,0,random_label2
392,528,0,random_label3
393,413,1,random_label1
393,198,1,random_label2
393,528,0,random_label3
394,413,7,random_label1
394,198,7,random_label2
394,528,7,random_label3
395,413,9,random_label1
395,198,7,random_label2
395,528,3,random_label3
396,413,1,random_label1
396,198,9,random_label2
396,528,1,random_label3
397,413,8,random_label1
397,198,8,random_label2
397,528,9,random_label3
398,413,4,random_label1
398,198,4,random_label2
398,528,4,random_label3
399,413,4,random_label1
399,198,5,random_label2
399,528,4,random_label3
400,443,5,random_label1
400,182,2,random_label2
400,485,2,random_label3
401,443,2,random_label1
401,182,8,random_label2
401,485,0,random_label3
402,443,2,random_label1
402,182,2,random_label2
402,485,2,random_label3
403,443,2,random_label1
403,182,2,random_label2
403,485,2,random_label3
404,443,8,random_label1
404,182,0,random_label2
404,485,8,random_label3
405,443,0,random_label1
405,182,0,random_label2
405,485,0,random_label3
406,443,9,random_label1
406,182,9,random_label2
406,485,0,random_label3
407,443,0,random_label1
407,182,0,random_label2
407,485,0,random_label3
408,443,1,random_label1
408,182,9,random_label2
408,485,3,random_label3
409,443,6,random_label1
409,182,1,random_label2
409,485,4,random_label3
410,223,3,random_label1
410,478,8,random_label2
410,583,8,random_label3
411,223,2,random_label1
411,478,2,random_label2
411,583,2,random_label3
412,223,7,random_label1
412,478,7,random_label2
412,583,7,random_label3
413,223,7,random_label1
413,478,7,random_label2
413,583,7,random_label3
414,223,4,random_label1
414,478,7,random_label2
414,583,7,random_label3
415,223,0,random_label1
415,478,0,random_label2
415,583,0,random_label3
416,223,3,random_label1
416,478,3,random_label2
416,583,2,random_label3
417,223,0,random_label1
417,478,2,random_label2
417,583,2,random_label3
418,223,5,random_label1
418,478,8,random_label2
418,583,8,random_label3
419,223,9,random_label1
419,478,9,random_label2
419,583,9,random_label3
420,29,4,random_label1
420,75,7,random_label2
420,443,4,random_label3
421,29,2,random_label1
421,75,2,random_label2
421,443,2,random_label3
422,29,7,random_label1
422,75,7,random_label2
422,443,7,random_label3
423,29,0,random_label1
423,75,2,random_label2
