clean_label,aggre_label,worse_label,random_label1,random_label2,random_label3,img_index
6,6,6,6,6,6,117
9,9,8,9,9,8,118
1,1,1,1,1,1,119
2,2,2,2,2,2,120
2,2,3,2,3,2,121
9,9,9,9,9,9,122
2,2,7,7,2,2,123
6,6,4,6,6,4,124
6,6,6,6,6,6,125
1,1,9,9,1,1,126
9,1,1,1,1,9,127
5,5,5,5,5,5,128
0,0,0,0,0,0,129
4,2,2,5,2,4,130
7,7,1,1,7,7,131
6,6,6,6,6,6,132
7,7,5,5,7,7,133
1,9,9,9,1,9,134
8,8,8,8,8,8,135
1,1,1,1,1,1,136
1,1,0,1,1,0,137
2,2,1,2,1,2,138
8,8,8,8,8,8,139
1,9,6,9,1,6,140
3,3,4,3,3,4,141
3,3,3,3,3,3,142
6,6,6,6,6,6,143
2,2,0,2,0,2,144
4,4,4,4,4,4,145
9,1,1,9,1,1,146
9,9,9,9,9,9,147
5,5,5,5,5,5,148
4,4,4,4,4,4,149
3,3,3,3,3,3,150
6,6,6,6,6,6,151
7,7,7,7,7,7,152
4,4,4,4,4,4,153
6,6,2,6,6,2,154
8,8,8,8,8,8,155
5,5,5,5,5,5,156
5,5,3,5,3,5,157
4,0,0,4,7,0,158
3,5,5,5,3,5,159
1,1,1,1,1,1,160
8,8,8,8,8,8,161
4,4,0,4,4,0,162
7,7,9,9,7,7,163
6,6,6,6,6,6,164
0,0,0,0,0,0,165
9,9,1,1,9,9,166
5,5,6,5,5,6,167
1,1,1,1,1,1,168
3,3,6,3,6,3,169
8,8,1,8,8,1,170
2,2,2,2,2,2,171
7,7,7,7,7,7,172
5,5,3,5,3,5,173
3,3,3,3,3,3,174
4,4,3,4,3,4,175
1,1,9,1,9,1,176
5,5,5,5,5,5,177
7,7,7,7,7,7,178
0,0,4,2,4,0,179
4,4,4,4,4,4,180
7,7,7,7,7,7,181
5,5,0,0,5,5,182
5,5,5,5,5,5,183
1,1,1,1,1,1,184
0,0,1,0,0,1,185
9,9,9,9,9,9,186
6,6,6,6,6,6,187
9,9,9,9,9,9,188
0,0,8,8,0,0,189
8,8,8,8,8,8,190
7,7,3,7,7,3,191
8,8,8,8,8,8,192
8,8,8,8,8,8,193
2,2,2,2,2,2,194
5,5,5,5,5,5,195
2,2,2,2,2,2,196
3,3,4,3,4,3,197
5,5,1,1,5,5,198
0,0,0,0,0,0,199
6,6,4,6,6,4,200
1,1,1,1,1,1,201
9,9,9,9,9,9,202
3,3,3,3,3,3,203
6,6,4,6,6,4,204
9,9,1,9,9,1,205
1,1,5,1,5,1,206
3,3,3,3,3,3,207
9,1,1,1,1,1,208
6,6,1,1,6,6,209
6,6,6,6,6,6,210
7,7,7,7,7,7,211
1,1,1,1,1,1,212
0,0,0,0,0,0,213
9,1,1,1,1,9,214
5,5,5,5,5,5,215
8,8,8,8,8,8,216
5,5,5,5,5,5,217
2,2,5,2,2,5,218
9,9,9,9,9,9,219
0,0,0,0,0,0,220
8,8,4,8,8,4,221
8,8,7,8,7,8,222
0,0,9,0,9,0,223
6,6,1,6,1,6,224
9,9,9,9,9,9,225
1,1,1,1,1,1,226
1,1,1,1,1,1,227
6,6,0,6,0,6,228
3,3,6,3,3,6,229
7,7,7,7,7,7,230
6,6,5,6,5,6,231
6,6,4,6,4,6,232
0,0,0,0,0,0,233
6,6,8,6,6,8,234
6,6,6,6,6,6,235
1,1,1,1,1,1,236
7,7,7,7,7,7,237
1,1,1,1,1,1,238
5,5,8,5,5,8,239
8,8,3,8,3,8,240
3,6,9,6,6,9,241
6,6,6,6,6,6,242
6,6,6,6,6,6,243
8,8,8,8,8,8,244
6,6,5,6,6,5,245
8,8,8,8,8,8,246
4,4,4,4,4,4,247
6,3,3,3,0,3,248
6,6,8,8,6,6,249
1,1,1,1,1,1,250
3,3,1,3,3,1,251
8,8,5,5,8,8,252
3,3,5,5,3,3,253
4,4,4,4,4,4,254
1,1,1,1,1,1,255
7,7,7,7,7,7,256
1,1,1,1,1,1,257
3,5,5,5,5,5,258
8,8,0,8,8,0,259
5,5,5,5,5,5,260
1,1,1,1,1,1,261
1,1,1,1,1,1,262
4,4,4,4,4,4,263
0,0,0,0,0,0,264
9,9,9,9,9,9,265
3,3,0,0,3,3,266
7,7,4,7,7,4,267
4,2,2,2,4,2,268
9,9,9,9,9,9,269
9,9,9,9,9,9,270
2,2,1,2,1,2,271
4,4,4,4,4,4,272
9,9,3,9,3,9,273
9,9,1,9,1,9,274
1,1,9,1,1,9,275
0,0,0,0,0,0,276
5,5,5,5,5,5,277
9,9,4,9,4,9,278
0,0,0,0,0,0,279
8,8,8,8,8,8,280
2,2,2,2,2,2,281
1,1,9,9,1,1,282
2,2,7,7,2,2,283
0,0,0,0,0,0,284
5,5,5,5,5,5,285
6,6,6,6,6,6,286
3,3,5,5,3,3,287
2,2,2,2,2,2,288
7,7,7,7,7,7,289
8,8,8,8,8,8,290
8,8,8,8,8,8,291
6,6,6,6,6,6,292
0,8,1,8,1,0,293
7,7,6,7,6,7,294
9,9,1,1,9,9,295
4,1,7,4,1,7,296
5,5,2,5,2,5,297
6,1,1,6,2,1,298
4,4,4,4,4,4,299
2,2,2,2,2,2,300
1,1,1,1,1,1,301
1,1,1,1,1,1,302
2,2,0,2,0,2,303
1,1,1,1,1,1,304
5,4,4,4,5,4,305
9,9,1,9,1,9,306
9,9,0,0,9,9,307
0,0,0,0,0,0,308
8,8,8,8,8,8,309
4,4,2,4,4,2,310
1,1,1,1,1,1,311
1,1,1,1,1,1,312
6,6,6,6,6,6,313
3,3,3,3,3,3,314
3,3,5,5,3,3,315
9,9,9,9,9,9,316
0,0,0,0,0,0,317
7,7,7,7,7,7,318
9,9,1,9,1,9,319
7,7,7,7,7,7,320
7,7,2,7,2,7,321
9,9,1,1,9,9,322
1,1,1,1,1,1,323
5,5,5,5,5,5,324
1,1,1,1,1,1,325
6,6,6,6,6,6,326
6,6,5,6,6,5,327
8,8,8,8,8,8,328
7,7,7,7,7,7,329
1,0,9,1,0,9,330
3,3,3,3,3,3,331
0,0,0,0,0,0,332
3,3,5,5,3,3,333
3,3,1,1,3,3,334
2,2,2,2,2,2,335
4,4,4,4,4,4,336
5,5,5,5,5,5,337
7,7,7,7,7,7,338
5,5,5,5,5,5,339
9,9,9,9,9,9,340
0,0,0,0,0,0,341
3,3,3,3,3,3,342
4,4,2,4,4,2,343
0,0,0,0,0,0,344
4,2,3,2,3,4,345
4,4,6,4,4,6,346
6,2,2,4,2,6,347
0,0,0,0,0,0,348
0,0,0,0,0,0,349
6,6,6,6,6,6,350
6,6,6,6,6,6,351
0,0,0,0,0,0,352
8,8,8,8,8,8,353
1,1,9,1,9,1,354
6,6,6,6,6,6,355
2,2,2,2,2,2,356
9,9,1,9,9,1,357
2,2,2,2,2,2,358
5,5,9,5,9,5,359
9,9,1,9,9,1,360
6,6,3,6,6,3,361
7,7,7,7,7,7,362
4,4,5,4,4,5,363
1,9,9,9,9,1,364
8,8,8,8,8,8,365
7,7,7,7,7,7,366
3,3,6,3,3,6,367
6,6,6,6,6,6,368
9,9,1,9,3,1,369
3,3,3,3,3,3,370
0,0,0,0,0,0,371
4,4,4,4,4,4,372
0,0,0,0,0,0,373
5,5,9,5,9,5,374
1,1,1,1,1,1,375
0,0,0,0,0,0,376
3,3,2,3,2,3,377
4,4,8,4,4,8,378
8,8,0,8,0,8,379
5,5,5,5,5,5,380
4,4,4,4,4,4,381
7,4,6,4,6,7,382
2,2,4,2,4,2,383
3,3,3,3,3,3,384
9,9,9,9,9,9,385
7,7,7,7,7,7,386
6,6,3,3,6,6,387
7,7,7,7,7,7,388
1,1,1,1,1,1,389
4,4,4,4,4,4,390
7,7,7,7,7,7,391
0,0,0,0,0,0,392
1,1,0,1,1,0,393
7,7,7,7,7,7,394
3,9,7,9,7,3,395
1,1,9,1,9,1,396
8,8,9,8,8,9,397
4,4,4,4,4,4,398
4,4,5,4,5,4,399
2,2,5,5,2,2,400
0,8,8,2,8,0,401
2,2,2,2,2,2,402
2,2,2,2,2,2,403
0,8,8,8,0,8,404
0,0,0,0,0,0,405
9,9,0,9,9,0,406
0,0,0,0,0,0,407
9,1,3,1,9,3,408
6,1,4,6,1,4,409
8,8,3,3,8,8,410
2,2,2,2,2,2,411
7,7,7,7,7,7,412
7,7,7,7,7,7,413
4,7,7,4,7,7,414
0,0,0,0,0,0,415
3,3,2,3,3,2,416
0,2,2,0,2,2,417
8,8,5,5,8,8,418
9,9,9,9,9,9,419
4,4,7,4,7,4,420
2,2,2,2,2,2,421
7,7,7,7,7,7,422
2,2,0,0,2,2,423
5,5,3,3,5,5,424
2,2,0,0,2,2,425
5,5,5,5,5,5,426
1,1,4,1,4,1,427
9,1,1,1,1,9,428
4,4,6,4,7,6,429
8,8,5,8,0,5,430
5,5,4,5,5,4,431
1,1,1,1,1,1,432
7,7,8,7,8,7,433
4,4,8,4,4,8,434
4,4,4,4,4,4,435
0,0,0,0,0,0,436
6,6,6,6,6,6,437
9,9,1,9,1,9,438
0,0,0,0,0,0,439
7,7,7,7,7,7,440
8,8,8,8,8,8,441
8,8,8,8,8,8,442
9,8,1,9,8,1,443
9,9,1,1,9,9,444
3,3,3,3,3,3,445
3,3,3,3,3,3,446
4,4,3,4,4,3,447
0,0,0,0,0,0,448
4,4,4,4,4,4,449
5,5,3,5,3,5,450
6,6,2,6,6,2,451
6,6,6,6,6,6,452
0,0,0,0,0,0,453
1,1,9,9,1,1,454
0,2,2,2,0,2,455
8,8,6,8,6,8,456
0,0,0,0,0,0,457
4,4,4,4,4,4,458
8,8,8,8,8,8,459
8,8,6,8,8,6,460
1,1,1,1,1,1,461
5,5,5,5,5,5,462
2,2,2,2,2,2,463
6,6,6,6,6,6,464
8,8,8,8,8,8,465
1,1,1,1,1,1,466
0,0,0,0,0,0,467
0,0,0,0,0,0,468
7,2,2,5,7,2,469
7,7,7,7,7,7,470
5,5,5,5,5,5,471
9,9,9,9,9,9,472
6,6,6,6,6,6,473
2,2,2,2,2,2,474
8,8,6,6,8,8,475
3,3,3,3,3,3,476
4,0,2,0,2,4,477
7,7,6,7,7,6,478
3,3,1,3,3,1,479
9,9,9,9,9,9,480
0,2,2,0,2,2,481
1,1,1,1,1,1,482
2,2,2,2,2,2,483
4,4,8,4,8,4,484
8,8,0,0,8,8,485
1,1,1,1,1,1,486
8,8,1,1,8,8,487
6,6,6,6,6,6,488
4,4,2,4,2,4,489
4,4,0,0,4,4,490
5,2,3,2,3,5,491
7,7,7,7,7,7,492
1,9,9,2,9,1,493
3,3,3,3,3,3,494
9,9,9,9,9,9,495
8,8,8,8,8,8,496
0,0,2,2,0,0,497
1,1,1,1,1,1,498
7,7,7,7,7,7,499
5,1,6,5,1,6,500
8,8,4,4,8,8,501
2,2,2,2,2,2,502
8,8,8,8,8,8,503
0,0,0,0,0,0,504
4,4,4,4,4,4,505
1,1,9,1,1,9,506
8,8,1,8,1,8,507
9,9,1,1,9,9,508
8,8,7,8,8,7,509
2,2,6,2,6,2,510
9,9,9,9,9,9,511
9,9,1,9,1,9,512
2,2,2,2,2,2,513
7,7,7,7,7,7,514
5,5,5,5,5,5,515
7,7,7,7,7,7,516
3,5,5,6,5,5,517
8,8,1,8,1,8,518
8,8,8,8,8,8,519
4,4,0,0,4,4,520
4,4,4,4,4,4,521
2,2,2,2,2,2,522
7,7,7,7,7,7,523
1,1,1,1,1,1,524
6,6,6,6,6,6,525
4,2,2,4,6,2,526
0,0,8,8,0,0,527
4,4,4,4,4,4,528
6,6,5,6,5,6,529
9,9,9,9,9,9,530
7,7,7,7,7,7,531
6,6,2,6,6,2,532
2,2,2,2,2,2,533
5,5,5,5,5,5,534
5,5,3,3,5,5,535
1,1,1,1,1,1,536
7,7,7,7,7,7,537
2,2,2,2,2,2,538
2,2,2,2,2,2,539
2,2,2,2,2,2,540
9,9,9,9,9,9,541
5,5,5,5,5,5,542
4,4,7,4,7,4,543
2,2,4,2,2,4,544
7,7,7,7,7,7,545
8,8,2,8,2,8,546
1,1,1,1,1,1,547
3,3,5,3,3,5,548
4,4,5,4,4,5,549
3,5,5,5,3,5,550
7,7,7,7,7,7,551
6,6,5,5,6,6,552
9,8,0,9,8,0,553
8,8,8,8,8,8,554
0,0,3,7,0,3,555
6,6,2,2,6,6,556
0,0,0,0,0,0,557
2,2,5,5,2,2,558
2,2,2,2,2,2,559
2,2,2,2,2,2,560
1,1,9,1,9,1,561
8,8,8,8,8,8,562
4,3,3,7,3,4,563
0,0,0,0,0,0,564
1,1,1,1,1,1,565
8,8,5,8,8,5,566
8,8,8,8,8,8,567
1,1,1,1,1,1,568
5,5,5,5,5,5,569
7,7,7,7,7,7,570
6,6,6,6,6,6,571
4,8,6,8,6,4,572
5,7,4,7,7,4,573
8,8,8,8,8,8,574
7,7,3,7,3,7,575
1,1,1,1,1,1,576
9,9,9,9,9,9,577
1,9,3,9,1,3,578
9,9,1,1,9,9,579
8,8,8,8,8,8,580
4,4,4,4,4,4,581
7,7,7,7,7,7,582
3,3,4,3,3,4,583
8,8,8,8,8,8,584
8,8,7,8,8,7,585
2,2,4,2,2,4,586
6,6,6,6,6,6,587
6,6,6,6,6,6,588
7,7,6,7,7,6,589
1,1,1,1,1,1,590
6,6,6,6,6,6,591
8,8,8,8,8,8,592
1,1,1,1,1,1,593
9,9,9,9,9,9,594
7,7,7,7,7,7,595
8,8,8,8,8,8,596
3,3,3,3,3,3,597
0,0,0,0,0,0,598
1,9,9,9,9,1,599
0,0,0,0,0,0,600
8,8,8,8,8,8,601
8,8,9,8,9,8,602
3,3,3,3,3,3,603
0,0,8,7,0,8,604
0,0,0,0,0,0,605
1,8,8,9,8,1,606
5,5,5,5,5,5,607
0,0,0,0,0,0,608
8,8,0,8,8,0,609
8,8,8,8,8,8,610
7,7,2,7,7,2,611
9,9,1,1,9,9,612
9,9,1,1,9,9,613
0,0,0,0,0,0,614
9,9,9,9,9,9,615
4,7,7,7,5,7,616
1,1,1,1,1,1,617
3,3,3,3,3,3,618
6,6,3,6,6,3,619
6,6,2,6,2,6,620
4,7,7,7,4,7,621
4,4,4,4,4,4,622
7,7,6,7,6,7,623
5,5,3,5,5,3,624
6,6,6,6,6,6,625
0,0,2,0,0,2,626
8,8,8,8,8,8,627
0,0,9,0,9,0,628
3,3,3,3,3,3,629
2,2,8,2,2,8,630
8,8,8,8,8,8,631
4,4,4,4,4,4,632
6,6,6,6,6,6,633
9,9,9,9,9,9,634
9,8,2,8,9,2,635
7,7,7,7,7,7,636
0,0,7,7,0,0,637
3,5,5,5,5,5,638
3,3,3,3,3,3,639
6,6,6,6,6,6,640
7,7,7,7,7,7,641
4,4,4,4,4,4,642
9,1,1,1,1,1,643
1,1,1,1,1,1,644
6,6,6,6,6,6,645
2,2,4,2,5,4,646
7,2,2,2,2,2,647
2,2,2,2,2,2,648
2,0,0,2,3,0,649
0,0,0,0,0,0,650
6,3,7,6,3,7,651
7,7,7,7,7,7,652
5,5,3,5,5,3,653
7,7,7,7,7,7,654
6,6,6,6,6,6,655
8,8,9,9,8,8,656
9,9,9,9,9,9,657
0,0,8,0,8,0,658
9,9,9,9,9,9,659
4,8,8,4,7,8,660
4,4,2,2,4,4,661
7,7,7,7,7,7,662
0,0,2,0,2,0,663
9,1,1,1,1,9,664
4,4,3,4,3,4,665
9,9,9,9,9,9,666
6,6,6,6,6,6,667
9,9,9,9,9,9,668
4,4,4,4,4,4,669
5,5,3,3,5,5,670
7,7,7,7,7,7,671
9,9,1,9,9,1,672
2,4,9,4,4,9,673
4,4,6,4,4,6,674
5,5,0,5,0,5,675
1,1,1,1,1,1,676
4,4,4,4,4,4,677
3,3,3,3,3,3,678
9,9,9,9,9,9,679
6,6,5,6,6,5,680
5,5,6,5,6,5,681
6,2,3,6,2,3,682
9,9,9,9,9,9,683
3,0,0,4,3,0,684
3,2,2,7,6,2,685
5,5,3,5,3,5,686
0,0,0,0,0,0,687
7,7,7,7,7,7,688
2,2,3,3,2,2,689
1,1,1,1,1,1,690
3,3,3,3,3,3,691
6,6,3,3,6,6,692
4,4,7,4,4,7,693
0,0,0,0,0,0,694
0,0,0,0,0,0,695
2,2,2,2,2,2,696
5,5,2,2,5,5,697
0,0,0,0,0,0,698
1,1,1,1,1,1,699
0,0,0,0,0,0,700
2,2,2,2,2,2,701
3,3,3,3,3,3,702
9,9,1,9,9,1,703
8,8,8,8,8,8,704
4,4,4,4,4,4,705
9,9,9,9,9,9,706
8,8,8,8,8,8,707
0,0,9,9,0,0,708
2,2,0,2,0,2,709
6,6,6,6,6,6,710
4,4,4,4,4,4,711
4,7,7,7,4,7,712
0,0,0,0,0,0,713
1,1,1,1,1,1,714
8,8,8,8,8,8,715
8,8,8,8,8,8,716
3,3,3,3,3,3,717
6,6,6,6,6,6,718
9,9,9,9,9,9,719
6,6,6,6,6,6,720
6,9,9,4,2,9,721
7,7,7,7,7,7,722
8,9,9,9,8,9,723
2,2,4,4,2,2,724
4,8,6,8,4,6,725
5,3,3,5,3,3,726
7,7,7,7,7,7,727
6,6,6,6,6,6,728
5,5,5,5,5,5,729
3,3,4,3,4,3,730
0,0,0,0,0,0,731
5,5,5,5,5,5,732
0,0,0,0,0,0,733
5,5,5,5,5,5,734
0,0,7,0,0,7,735
8,9,9,9,9,8,736
2,2,3,2,3,2,737
6,6,6,6,6,6,738
7,7,7,7,7,7,739
3,3,3,3,3,3,740
8,8,8,8,8,8,741
2,2,2,2,2,2,742
1,1,1,1,1,1,743
7,7,7,7,7,7,744
6,6,6,6,6,6,745
7,8,0,7,8,0,746
1,1,1,1,1,1,747
0,0,0,0,0,0,748
9,0,0,9,1,0,749
5,5,5,5,5,5,750
5,5,3,5,3,5,751
0,0,0,0,0,0,752
1,1,1,1,1,1,753
7,7,7,7,7,7,754
6,5,5,6,5,5,755
9,1,1,0,1,1,756
0,0,0,0,0,0,757
4,4,4,4,4,4,758
7,7,7,7,7,7,759
7,7,7,7,7,7,760
1,1,1,1,1,1,761
5,5,5,5,5,5,762
9,9,9,9,9,9,763
4,4,2,2,4,4,764
0,0,0,0,0,0,765
8,8,8,8,8,8,766
5,5,7,5,5,7,767
9,9,9,9,9,9,768
9,9,1,9,1,9,769
6,9,9,2,7,9,770
7,7,7,7,7,7,771
1,1,0,1,0,1,772
8,8,8,8,8,8,773
3,3,4,4,3,3,774
2,2,2,2,2,2,775
3,3,6,3,3,6,776
8,8,8,8,8,8,777
2,2,2,2,2,2,778
2,2,2,2,2,2,779
4,4,4,4,4,4,780
6,6,8,6,8,6,781
0,0,0,0,0,0,782
0,0,0,0,0,0,783
5,5,5,5,5,5,784
3,2,8,2,2,8,785
8,8,8,8,8,8,786
2,2,2,2,2,2,787
3,3,6,3,3,6,788
7,7,7,7,7,7,789
2,2,2,2,2,2,790
9,9,2,2,9,9,791
3,3,3,3,3,3,792
8,8,8,8,8,8,793
7,7,7,7,7,7,794
8,8,8,8,8,8,795
2,2,2,2,2,2,796
7,7,7,7,7,7,797
9,9,7,9,7,9,798
0,0,0,0,0,0,799
2,2,2,2,2,2,800
3,3,9,3,9,3,801
2,2,2,2,2,2,802
2,2,8,8,2,2,803
2,2,4,2,2,4,804
3,3,5,3,3,5,805
3,3,3,3,3,3,806
6,1,1,1,6,1,807
2,9,1,9,2,1,808
3,3,5,3,3,5,809
2,2,6,6,2,2,810
8,8,8,8,8,8,811
0,1,1,0,1,1,812
5,5,1,5,1,5,813
5,2,3,7,2,3,814
1,1,1,1,1,1,815
4,4,0,4,0,4,816
5,5,6,5,5,6,817
6,6,3,6,6,3,818
6,6,3,6,3,6,819
2,2,5,6,2,5,820
7,7,7,7,7,7,821
0,0,0,0,0,0,822
1,1,1,1,1,1,823
7,7,7,7,7,7,824
7,7,7,7,7,7,825
8,8,8,8,8,8,826
2,2,2,2,2,2,827
9,9,1,9,1,9,828
2,2,2,2,2,2,829
2,2,2,2,2,2,830
4,4,4,4,4,4,831
2,2,5,2,2,5,832
1,1,1,1,1,1,833
1,1,1,1,1,1,834
1,1,2,1,2,1,835
6,6,6,6,6,6,836
6,6,6,6,6,6,837
6,6,5,6,6,5,838
5,5,5,5,5,5,839
1,1,5,5,1,1,840
1,1,9,1,1,9,841
7,7,7,7,7,7,842
0,9,9,9,0,9,843
4,4,4,4,4,4,844
3,3,6,6,3,3,845
3,3,3,3,3,3,846
7,7,7,7,7,7,847
1,1,1,1,1,1,848
2,2,1,1,2,2,849
3,0,5,0,5,3,850
5,5,3,3,5,5,851
5,5,3,5,5,3,852
5,5,3,3,5,5,853
6,6,6,6,6,6,854
1,1,8,8,1,1,855
4,4,0,4,4,0,856
3,3,5,3,5,3,857
7,7,7,7,7,7,858
8,8,0,0,8,8,859
8,8,8,8,8,8,860
3,3,3,3,3,3,861
6,6,6,6,6,6,862
6,6,2,2,6,6,863
2,2,2,2,2,2,864
3,3,5,3,3,5,865
0,0,0,0,0,0,866
9,9,9,9,9,9,867
4,7,7,7,4,7,868
3,3,4,4,3,3,869
8,8,8,8,8,8,870
0,0,4,4,0,0,871
0,0,8,0,8,0,872
1,1,3,1,1,3,873
1,1,9,1,9,1,874
5,5,3,5,5,3,875
4,4,5,4,5,4,876
9,9,9,9,9,9,877
3,8,8,9,5,8,878
1,1,1,1,1,1,879
8,8,8,8,8,8,880
9,9,7,7,9,9,881
3,3,3,3,3,3,882
9,9,9,9,9,9,883
9,9,9,9,9,9,884
2,2,1,1,2,2,885
9,9,1,9,1,9,886
4,4,0,4,0,4,887
8,8,8,8,8,8,888
2,2,2,2,2,2,889
9,9,9,9,9,9,890
8,8,8,8,8,8,891
8,8,0,8,8,0,892
1,0,0,6,9,0,893
5,5,5,5,5,5,894
3,3,3,3,3,3,895
6,6,6,6,6,6,896
8,8,8,8,8,8,897
7,7,7,7,7,7,898
6,6,2,6,2,6,899
9,9,1,1,9,9,900
8,8,1,1,8,8,901
0,0,0,0,0,0,902
6,6,6,6,6,6,903
4,4,4,4,4,4,904
0,0,5,5,0,0,905
0,8,1,8,1,0,906
2,2,2,2,2,2,907
5,5,3,3,5,5,908
8,8,8,8,8,8,909
2,2,2,2,2,2,910
0,0,5,0,3,5,911
2,2,2,2,2,2,912
7,7,7,7,7,7,913
6,6,6,6,6,6,914
9,1,1,1,9,1,915
7,7,7,7,7,7,916
1,1,1,1,1,1,917
5,5,2,5,2,5,918
5,5,5,5,5,5,919
6,6,1,6,6,1,920
6,6,6,6,6,6,921
3,3,3,3,3,3,922
6,6,6,6,6,6,923
2,2,2,2,2,2,924
4,4,2,4,2,4,925
7,7,7,7,7,7,926
0,2,2,6,2,2,927
5,0,0,0,2,0,928
6,6,6,6,6,6,929
4,4,2,4,2,4,930
6,6,6,6,6,6,931
5,5,5,5,5,5,932
2,2,2,2,2,2,933
4,0,0,1,4,0,934
6,6,6,6,6,6,935
1,1,1,1,1,1,936
6,6,2,2,6,6,937
0,0,0,0,0,0,938
4,4,1,4,1,4,939
0,0,0,0,0,0,940
3,3,4,5,4,3,941
1,1,1,1,1,1,942
8,8,1,1,8,8,943
5,5,5,5,5,5,944
4,4,8,8,4,4,945
4,4,4,4,4,4,946
1,1,9,1,9,1,947
7,7,7,7,7,7,948
3,3,3,3,3,3,949
9,8,8,1,9,8,950
4,4,4,4,4,4,951
7,7,7,7,7,7,952
9,1,1,7,1,9,953
7,7,7,7,7,7,954
3,3,3,3,3,3,955
7,7,7,7,7,7,956
2,2,2,2,2,2,957
8,8,0,8,0,8,958
4,0,0,4,7,0,959
6,6,6,6,6,6,960
6,2,2,6,2,2,961
1,1,7,1,7,1,962
2,2,2,2,2,2,963
9,9,0,0,9,9,964
0,0,0,0,0,0,965
4,5,5,5,3,5,966
8,8,6,8,6,8,967
7,7,7,7,7,7,968
3,3,3,3,3,3,969
9,9,9,9,9,9,970
8,8,8,8,8,8,971
7,7,7,7,7,7,972
7,7,7,7,7,7,973
0,0,0,0,0,0,974
2,2,2,2,2,2,975
4,4,4,4,4,4,976
1,1,1,1,1,1,977
1,1,9,1,1,9,978
4,4,4,4,4,4,979
1,1,9,9,1,1,980
5,5,3,5,5,3,981
4,4,4,4,4,4,982
0,0,5,5,0,0,983
5,5,3,5,3,5,984
6,6,6,6,6,6,985
2,2,5,2,2,5,986
8,8,0,8,8,0,987
5,2,3,2,5,3,988
0,0,0,0,0,0,989
2,2,2,2,2,2,990
1,1,1,1,1,1,991
3,2,2,6,2,3,992
5,5,5,5,5,5,993
7,7,7,7,7,7,994
